name,url,full_url,important_numbers,likelihood_force_by_pop,likelihood_force_by_arrests
"Aberdeen, Monmouth",/database/pd-dept/aberdeen-monmouth,http://force.nj.com/database/pd-dept/aberdeen-monmouth,"['294%', '42%']",294%,42%
"Absecon, Atlantic",/database/pd-dept/absecon-atlantic,http://force.nj.com/database/pd-dept/absecon-atlantic,"['583%', '68%']",583%,68%
"Allendale, Bergen",/database/pd-dept/allendale-bergen,http://force.nj.com/database/pd-dept/allendale-bergen,"['N/A', '8%']",N/A,8%
"Allenhurst, Monmouth",/database/pd-dept/allenhurst-monmouth,http://force.nj.com/database/pd-dept/allenhurst-monmouth,"['N/A', 'N/A']",N/A,N/A
"Allentown, Monmouth",/database/pd-dept/allentown-monmouth,http://force.nj.com/database/pd-dept/allentown-monmouth,"['N/A', 'N/A']",N/A,N/A
"Alpine, Bergen",/database/pd-dept/alpine-bergen,http://force.nj.com/database/pd-dept/alpine-bergen,"['N/A', 'N/A']",N/A,N/A
"Andover Township, Sussex",/database/pd-dept/andover-township-sussex,http://force.nj.com/database/pd-dept/andover-township-sussex,"['N/A', '2%']",N/A,2%
"Asbury Park, Monmouth",/database/pd-dept/asbury-park-monmouth,http://force.nj.com/database/pd-dept/asbury-park-monmouth,"['96%', '39%']",96%,39%
"Atlantic City, Atlantic",/database/pd-dept/atlantic-city-atlantic,http://force.nj.com/database/pd-dept/atlantic-city-atlantic,"['35%', '3%']",35%,3%
"Atlantic Highlands, Monmouth",/database/pd-dept/atlantic-highlands-monmouth,http://force.nj.com/database/pd-dept/atlantic-highlands-monmouth,"['335%', '69%']",335%,69%
"Audubon, Camden",/database/pd-dept/audubon-camden,http://force.nj.com/database/pd-dept/audubon-camden,"['N/A', 'N/A']",N/A,N/A
"Avalon, Cape May",/database/pd-dept/avalon-cape-may,http://force.nj.com/database/pd-dept/avalon-cape-may,"['N/A', 'N/A']",N/A,N/A
"Avon-By-the-Sea, Monmouth",/database/pd-dept/avon-by-the-sea-monmouth,http://force.nj.com/database/pd-dept/avon-by-the-sea-monmouth,"['N/A', 'N/A']",N/A,N/A
"Barnegat, Ocean",/database/pd-dept/barnegat-ocean,http://force.nj.com/database/pd-dept/barnegat-ocean,"['216%', '9%']",216%,9%
"Barrington, Camden",/database/pd-dept/barrington-camden,http://force.nj.com/database/pd-dept/barrington-camden,"['1147%', '4%']",1147%,4%
"Bay Head, Ocean",/database/pd-dept/bay-head-ocean,http://force.nj.com/database/pd-dept/bay-head-ocean,"['N/A', 'N/A']",N/A,N/A
"Bayonne, Hudson",/database/pd-dept/bayonne-hudson,http://force.nj.com/database/pd-dept/bayonne-hudson,"['108%', '3%']",108%,3%
"Beach Haven, Ocean",/database/pd-dept/beach-haven-ocean,http://force.nj.com/database/pd-dept/beach-haven-ocean,"['78%', '286%']",78%,286%
"Beachwood, Ocean",/database/pd-dept/beachwood-ocean,http://force.nj.com/database/pd-dept/beachwood-ocean,"['717%', '63%']",717%,63%
"Bedminster, Somerset",/database/pd-dept/bedminster-somerset,http://force.nj.com/database/pd-dept/bedminster-somerset,"['N/A', '353%']",N/A,353%
"Belleville, Essex",/database/pd-dept/belleville-essex,http://force.nj.com/database/pd-dept/belleville-essex,"['76%', '89%']",76%,89%
"Bellmawr, Camden",/database/pd-dept/bellmawr-camden,http://force.nj.com/database/pd-dept/bellmawr-camden,"['231%', '47%']",231%,47%
"Belmar, Monmouth",/database/pd-dept/belmar-monmouth,http://force.nj.com/database/pd-dept/belmar-monmouth,"['218%', '28%']",218%,28%
"Belvidere, Warren",/database/pd-dept/belvidere-warren,http://force.nj.com/database/pd-dept/belvidere-warren,"['N/A', 'N/A']",N/A,N/A
"Bergenfield, Bergen",/database/pd-dept/bergenfield-bergen,http://force.nj.com/database/pd-dept/bergenfield-bergen,"['40%', '17%']",40%,17%
"Berkeley Heights, Union",/database/pd-dept/berkeley-heights-union,http://force.nj.com/database/pd-dept/berkeley-heights-union,"['N/A', 'N/A']",N/A,N/A
"Berkeley, Ocean",/database/pd-dept/berkeley-ocean,http://force.nj.com/database/pd-dept/berkeley-ocean,"['41%', '76%']",41%,76%
"Berlin Borough, Camden",/database/pd-dept/berlin-borough-camden,http://force.nj.com/database/pd-dept/berlin-borough-camden,"['529%', '14%']",529%,14%
"Berlin Township, Camden",/database/pd-dept/berlin-township-camden,http://force.nj.com/database/pd-dept/berlin-township-camden,"['36%', '31%']",36%,31%
"Bernards, Somerset",/database/pd-dept/bernards-somerset,http://force.nj.com/database/pd-dept/bernards-somerset,"['779%', '10%']",779%,10%
"Bernardsville, Somerset",/database/pd-dept/bernardsville-somerset,http://force.nj.com/database/pd-dept/bernardsville-somerset,"['N/A', 'N/A']",N/A,N/A
"Beverly, Burlington",/database/pd-dept/beverly-burlington,http://force.nj.com/database/pd-dept/beverly-burlington,"['924%', '53%']",924%,53%
"Blairstown, Warren",/database/pd-dept/blairstown-warren,http://force.nj.com/database/pd-dept/blairstown-warren,"['N/A', 'N/A']",N/A,N/A
"Bloomfield, Essex",/database/pd-dept/bloomfield-essex,http://force.nj.com/database/pd-dept/bloomfield-essex,"['252%', '83%']",252%,83%
"Bloomingdale, Passaic",/database/pd-dept/bloomingdale-passaic,http://force.nj.com/database/pd-dept/bloomingdale-passaic,"['642%', '79%']",642%,79%
"Bogota, Bergen",/database/pd-dept/bogota-bergen,http://force.nj.com/database/pd-dept/bogota-bergen,"['68%', '52%']",68%,52%
"Boonton, Morris",/database/pd-dept/boonton-morris,http://force.nj.com/database/pd-dept/boonton-morris,"['747%', '88%']",747%,88%
"Boonton Township, Morris",/database/pd-dept/boonton-township-morris,http://force.nj.com/database/pd-dept/boonton-township-morris,"['N/A', 'N/A']",N/A,N/A
"Bordentown Township, Burlington",/database/pd-dept/bordentown-township-burlington,http://force.nj.com/database/pd-dept/bordentown-township-burlington,"['367%', '5%']",367%,5%
"Bordentown City, Burlington",/database/pd-dept/bordentown-burlington,http://force.nj.com/database/pd-dept/bordentown-burlington,"['254%', '35%']",254%,35%
"Bound Brook, Somerset",/database/pd-dept/bound-brook-somerset,http://force.nj.com/database/pd-dept/bound-brook-somerset,"['527%', '36%']",527%,36%
"Bradley Beach, Monmouth",/database/pd-dept/bradley-beach-monmouth,http://force.nj.com/database/pd-dept/bradley-beach-monmouth,"['925%', '54%']",925%,54%
"Branchburg, Somerset",/database/pd-dept/branchburg-somerset,http://force.nj.com/database/pd-dept/branchburg-somerset,"['150%', '37%']",150%,37%
"Brick, Ocean",/database/pd-dept/brick-ocean,http://force.nj.com/database/pd-dept/brick-ocean,"['457%', '39%']",457%,39%
"Bridgeton City, Cumberland",/database/pd-dept/bridgeton-city-cumberland,http://force.nj.com/database/pd-dept/bridgeton-city-cumberland,"['1%', '39%']",1%,39%
"Bridgewater, Somerset",/database/pd-dept/bridgewater-somerset,http://force.nj.com/database/pd-dept/bridgewater-somerset,"['994%', '15%']",994%,15%
"Brielle, Monmouth",/database/pd-dept/brielle-monmouth,http://force.nj.com/database/pd-dept/brielle-monmouth,"['N/A', '681%']",N/A,681%
"Brigantine Beach, Atlantic",/database/pd-dept/brigantine-beach-atlantic,http://force.nj.com/database/pd-dept/brigantine-beach-atlantic,"['974%', '50%']",974%,50%
"Brooklawn, Camden",/database/pd-dept/brooklawn-camden,http://force.nj.com/database/pd-dept/brooklawn-camden,"['427%', '4%']",427%,4%
"Buena Borough, Atlantic",/database/pd-dept/buena-borough-atlantic,http://force.nj.com/database/pd-dept/buena-borough-atlantic,"['838%', '145%']",838%,145%
"Burlington City, Burlington",/database/pd-dept/burlington-city-burlington,http://force.nj.com/database/pd-dept/burlington-city-burlington,"['497%', '27%']",497%,27%
"Burlington Township, Burlington",/database/pd-dept/burlington-town-burlington,http://force.nj.com/database/pd-dept/burlington-town-burlington,"['215%', '10%']",215%,10%
"Butler, Morris",/database/pd-dept/butler-morris,http://force.nj.com/database/pd-dept/butler-morris,"['N/A', '43%']",N/A,43%
"Byram, Sussex",/database/pd-dept/byram-sussex,http://force.nj.com/database/pd-dept/byram-sussex,"['3922%', '7%']",3922%,7%
"Caldwell, Essex",/database/pd-dept/caldwell-essex,http://force.nj.com/database/pd-dept/caldwell-essex,"['101%', '17%']",101%,17%
"Camden, Camden",/database/pd-dept/camden-camden,http://force.nj.com/database/pd-dept/camden-camden,"['8%', '447%']",8%,447%
"Cape May & Cape May Point & West Cape May, Cape May",/database/pd-dept/cape-may-cape-may,http://force.nj.com/database/pd-dept/cape-may-cape-may,"['373%', '75%']",373%,75%
"Carlstadt, Bergen",/database/pd-dept/carlstadt-bergen,http://force.nj.com/database/pd-dept/carlstadt-bergen,"['N/A', '36%']",N/A,36%
"Carney's Point, Salem",/database/pd-dept/carney-s-point-salem,http://force.nj.com/database/pd-dept/carney-s-point-salem,"['238%', '45%']",238%,45%
