dept_name,relative_url,full_url,likelihood_force_by_pop,likelihood_force_by_arrests,no_data_found,name,full_url_r,LA_numbers,NYC_numbers,Chicago_numbers
"Aberdeen, Monmouth",/database/pd-dept/aberdeen-monmouth,http://force.nj.com/database/pd-dept/aberdeen-monmouth,294%,42%,,"Aberdeen, Monmouth",http://force.nj.com/database/pd-dept/aberdeen-monmouth,4,15,16
"Absecon, Atlantic",/database/pd-dept/absecon-atlantic,http://force.nj.com/database/pd-dept/absecon-atlantic,583%,68%,,"Absecon, Atlantic",http://force.nj.com/database/pd-dept/absecon-atlantic,0,9,13
"Allendale, Bergen",/database/pd-dept/allendale-bergen,http://force.nj.com/database/pd-dept/allendale-bergen,,8%,,"Allendale, Bergen",http://force.nj.com/database/pd-dept/allendale-bergen,0,2,3
"Allenhurst, Monmouth",/database/pd-dept/allenhurst-monmouth,http://force.nj.com/database/pd-dept/allenhurst-monmouth,,,,"Allenhurst, Monmouth",http://force.nj.com/database/pd-dept/allenhurst-monmouth,0,4,4
"Allentown, Monmouth",/database/pd-dept/allentown-monmouth,http://force.nj.com/database/pd-dept/allentown-monmouth,,,,"Allentown, Monmouth",http://force.nj.com/database/pd-dept/allentown-monmouth,0,1,1
"Alpine, Bergen",/database/pd-dept/alpine-bergen,http://force.nj.com/database/pd-dept/alpine-bergen,,,,"Alpine, Bergen",http://force.nj.com/database/pd-dept/alpine-bergen,0,2,2
"Andover Township, Sussex",/database/pd-dept/andover-township-sussex,http://force.nj.com/database/pd-dept/andover-township-sussex,,2%,,"Andover Township, Sussex",http://force.nj.com/database/pd-dept/andover-township-sussex,0,5,5
"Asbury Park, Monmouth",/database/pd-dept/asbury-park-monmouth,http://force.nj.com/database/pd-dept/asbury-park-monmouth,96%,39%,,"Asbury Park, Monmouth",http://force.nj.com/database/pd-dept/asbury-park-monmouth,24,84,85
"Atlantic City, Atlantic",/database/pd-dept/atlantic-city-atlantic,http://force.nj.com/database/pd-dept/atlantic-city-atlantic,35%,3%,,"Atlantic City, Atlantic",http://force.nj.com/database/pd-dept/atlantic-city-atlantic,90,216,220
"Atlantic Highlands, Monmouth",/database/pd-dept/atlantic-highlands-monmouth,http://force.nj.com/database/pd-dept/atlantic-highlands-monmouth,335%,69%,,"Atlantic Highlands, Monmouth",http://force.nj.com/database/pd-dept/atlantic-highlands-monmouth,0,3,4
"Audubon, Camden",/database/pd-dept/audubon-camden,http://force.nj.com/database/pd-dept/audubon-camden,,,,"Audubon, Camden",http://force.nj.com/database/pd-dept/audubon-camden,0,2,2
"Avalon, Cape May",/database/pd-dept/avalon-cape-may,http://force.nj.com/database/pd-dept/avalon-cape-may,,,,"Avalon, Cape May",http://force.nj.com/database/pd-dept/avalon-cape-may,0,4,4
"Avon-By-the-Sea, Monmouth",/database/pd-dept/avon-by-the-sea-monmouth,http://force.nj.com/database/pd-dept/avon-by-the-sea-monmouth,,,,"Avon-By-the-Sea, Monmouth",http://force.nj.com/database/pd-dept/avon-by-the-sea-monmouth,0,7,7
"Barnegat, Ocean",/database/pd-dept/barnegat-ocean,http://force.nj.com/database/pd-dept/barnegat-ocean,216%,9%,,"Barnegat, Ocean",http://force.nj.com/database/pd-dept/barnegat-ocean,0,20,23
"Barrington, Camden",/database/pd-dept/barrington-camden,http://force.nj.com/database/pd-dept/barrington-camden,1147%,4%,,"Barrington, Camden",http://force.nj.com/database/pd-dept/barrington-camden,0,11,11
"Bay Head, Ocean",/database/pd-dept/bay-head-ocean,http://force.nj.com/database/pd-dept/bay-head-ocean,,,,"Bay Head, Ocean",http://force.nj.com/database/pd-dept/bay-head-ocean,0,1,1
"Bayonne, Hudson",/database/pd-dept/bayonne-hudson,http://force.nj.com/database/pd-dept/bayonne-hudson,108%,3%,,"Bayonne, Hudson",http://force.nj.com/database/pd-dept/bayonne-hudson,11,88,92
"Beach Haven, Ocean",/database/pd-dept/beach-haven-ocean,http://force.nj.com/database/pd-dept/beach-haven-ocean,78%,286%,,"Beach Haven, Ocean",http://force.nj.com/database/pd-dept/beach-haven-ocean,0,7,8
"Beachwood, Ocean",/database/pd-dept/beachwood-ocean,http://force.nj.com/database/pd-dept/beachwood-ocean,717%,63%,,"Beachwood, Ocean",http://force.nj.com/database/pd-dept/beachwood-ocean,0,14,15
"Bedminster, Somerset",/database/pd-dept/bedminster-somerset,http://force.nj.com/database/pd-dept/bedminster-somerset,,353%,,"Bedminster, Somerset",http://force.nj.com/database/pd-dept/bedminster-somerset,0,1,2
"Belleville, Essex",/database/pd-dept/belleville-essex,http://force.nj.com/database/pd-dept/belleville-essex,76%,89%,,"Belleville, Essex",http://force.nj.com/database/pd-dept/belleville-essex,12,64,66
"Bellmawr, Camden",/database/pd-dept/bellmawr-camden,http://force.nj.com/database/pd-dept/bellmawr-camden,231%,47%,,"Bellmawr, Camden",http://force.nj.com/database/pd-dept/bellmawr-camden,0,7,13
"Belmar, Monmouth",/database/pd-dept/belmar-monmouth,http://force.nj.com/database/pd-dept/belmar-monmouth,218%,28%,,"Belmar, Monmouth",http://force.nj.com/database/pd-dept/belmar-monmouth,2,31,32
"Belvidere, Warren",/database/pd-dept/belvidere-warren,http://force.nj.com/database/pd-dept/belvidere-warren,,,,"Belvidere, Warren",http://force.nj.com/database/pd-dept/belvidere-warren,0,1,1
"Bergenfield, Bergen",/database/pd-dept/bergenfield-bergen,http://force.nj.com/database/pd-dept/bergenfield-bergen,40%,17%,,"Bergenfield, Bergen",http://force.nj.com/database/pd-dept/bergenfield-bergen,0,13,14
"Berkeley Heights, Union",/database/pd-dept/berkeley-heights-union,http://force.nj.com/database/pd-dept/berkeley-heights-union,,,,"Berkeley Heights, Union",http://force.nj.com/database/pd-dept/berkeley-heights-union,0,1,1
"Berkeley, Ocean",/database/pd-dept/berkeley-ocean,http://force.nj.com/database/pd-dept/berkeley-ocean,41%,76%,,"Berkeley, Ocean",http://force.nj.com/database/pd-dept/berkeley-ocean,1,23,24
"Berlin Borough, Camden",/database/pd-dept/berlin-borough-camden,http://force.nj.com/database/pd-dept/berlin-borough-camden,529%,14%,,"Berlin Borough, Camden",http://force.nj.com/database/pd-dept/berlin-borough-camden,1,10,11
"Berlin Township, Camden",/database/pd-dept/berlin-township-camden,http://force.nj.com/database/pd-dept/berlin-township-camden,36%,31%,,"Berlin Township, Camden",http://force.nj.com/database/pd-dept/berlin-township-camden,0,6,6
"Bernards, Somerset",/database/pd-dept/bernards-somerset,http://force.nj.com/database/pd-dept/bernards-somerset,779%,10%,,"Bernards, Somerset",http://force.nj.com/database/pd-dept/bernards-somerset,0,14,16
"Bernardsville, Somerset",/database/pd-dept/bernardsville-somerset,http://force.nj.com/database/pd-dept/bernardsville-somerset,,,,"Bernardsville, Somerset",http://force.nj.com/database/pd-dept/bernardsville-somerset,0,4,4
"Beverly, Burlington",/database/pd-dept/beverly-burlington,http://force.nj.com/database/pd-dept/beverly-burlington,924%,53%,,"Beverly, Burlington",http://force.nj.com/database/pd-dept/beverly-burlington,2,11,12
"Blairstown, Warren",/database/pd-dept/blairstown-warren,http://force.nj.com/database/pd-dept/blairstown-warren,,,,"Blairstown, Warren",http://force.nj.com/database/pd-dept/blairstown-warren,0,2,2
"Bloomfield, Essex",/database/pd-dept/bloomfield-essex,http://force.nj.com/database/pd-dept/bloomfield-essex,252%,83%,,"Bloomfield, Essex",http://force.nj.com/database/pd-dept/bloomfield-essex,15,60,63
"Bloomingdale, Passaic",/database/pd-dept/bloomingdale-passaic,http://force.nj.com/database/pd-dept/bloomingdale-passaic,642%,79%,,"Bloomingdale, Passaic",http://force.nj.com/database/pd-dept/bloomingdale-passaic,0,8,9
"Bogota, Bergen",/database/pd-dept/bogota-bergen,http://force.nj.com/database/pd-dept/bogota-bergen,68%,52%,,"Bogota, Bergen",http://force.nj.com/database/pd-dept/bogota-bergen,0,8,9
"Boonton, Morris",/database/pd-dept/boonton-morris,http://force.nj.com/database/pd-dept/boonton-morris,747%,88%,,"Boonton, Morris",http://force.nj.com/database/pd-dept/boonton-morris,0,10,10
"Boonton Township, Morris",/database/pd-dept/boonton-township-morris,http://force.nj.com/database/pd-dept/boonton-township-morris,,,,"Boonton Township, Morris",http://force.nj.com/database/pd-dept/boonton-township-morris,0,3,3
"Bordentown Township, Burlington",/database/pd-dept/bordentown-township-burlington,http://force.nj.com/database/pd-dept/bordentown-township-burlington,367%,5%,,"Bordentown Township, Burlington",http://force.nj.com/database/pd-dept/bordentown-township-burlington,2,18,20
"Bordentown City, Burlington",/database/pd-dept/bordentown-burlington,http://force.nj.com/database/pd-dept/bordentown-burlington,254%,35%,,"Bordentown City, Burlington",http://force.nj.com/database/pd-dept/bordentown-burlington,0,6,6
"Bound Brook, Somerset",/database/pd-dept/bound-brook-somerset,http://force.nj.com/database/pd-dept/bound-brook-somerset,527%,36%,,"Bound Brook, Somerset",http://force.nj.com/database/pd-dept/bound-brook-somerset,3,16,16
"Bradley Beach, Monmouth",/database/pd-dept/bradley-beach-monmouth,http://force.nj.com/database/pd-dept/bradley-beach-monmouth,925%,54%,,"Bradley Beach, Monmouth",http://force.nj.com/database/pd-dept/bradley-beach-monmouth,1,12,14
"Branchburg, Somerset",/database/pd-dept/branchburg-somerset,http://force.nj.com/database/pd-dept/branchburg-somerset,150%,37%,,"Branchburg, Somerset",http://force.nj.com/database/pd-dept/branchburg-somerset,0,8,9
"Brick, Ocean",/database/pd-dept/brick-ocean,http://force.nj.com/database/pd-dept/brick-ocean,457%,39%,,"Brick, Ocean",http://force.nj.com/database/pd-dept/brick-ocean,3,64,67
"Bridgeton City, Cumberland",/database/pd-dept/bridgeton-city-cumberland,http://force.nj.com/database/pd-dept/bridgeton-city-cumberland,1%,39%,,"Bridgeton City, Cumberland",http://force.nj.com/database/pd-dept/bridgeton-city-cumberland,19,41,56
"Bridgewater, Somerset",/database/pd-dept/bridgewater-somerset,http://force.nj.com/database/pd-dept/bridgewater-somerset,994%,15%,,"Bridgewater, Somerset",http://force.nj.com/database/pd-dept/bridgewater-somerset,0,36,37
"Brielle, Monmouth",/database/pd-dept/brielle-monmouth,http://force.nj.com/database/pd-dept/brielle-monmouth,,681%,,"Brielle, Monmouth",http://force.nj.com/database/pd-dept/brielle-monmouth,0,2,2
"Brigantine Beach, Atlantic",/database/pd-dept/brigantine-beach-atlantic,http://force.nj.com/database/pd-dept/brigantine-beach-atlantic,974%,50%,,"Brigantine Beach, Atlantic",http://force.nj.com/database/pd-dept/brigantine-beach-atlantic,0,13,13
"Brooklawn, Camden",/database/pd-dept/brooklawn-camden,http://force.nj.com/database/pd-dept/brooklawn-camden,427%,4%,,"Brooklawn, Camden",http://force.nj.com/database/pd-dept/brooklawn-camden,2,9,10
"Buena Borough, Atlantic",/database/pd-dept/buena-borough-atlantic,http://force.nj.com/database/pd-dept/buena-borough-atlantic,838%,145%,,"Buena Borough, Atlantic",http://force.nj.com/database/pd-dept/buena-borough-atlantic,1,3,7
"Burlington City, Burlington",/database/pd-dept/burlington-city-burlington,http://force.nj.com/database/pd-dept/burlington-city-burlington,497%,27%,,"Burlington City, Burlington",http://force.nj.com/database/pd-dept/burlington-city-burlington,2,29,30
"Burlington Township, Burlington",/database/pd-dept/burlington-town-burlington,http://force.nj.com/database/pd-dept/burlington-town-burlington,215%,10%,,"Burlington Township, Burlington",http://force.nj.com/database/pd-dept/burlington-town-burlington,0,26,26
"Butler, Morris",/database/pd-dept/butler-morris,http://force.nj.com/database/pd-dept/butler-morris,,43%,,"Butler, Morris",http://force.nj.com/database/pd-dept/butler-morris,0,6,6
"Byram, Sussex",/database/pd-dept/byram-sussex,http://force.nj.com/database/pd-dept/byram-sussex,3922%,7%,,"Byram, Sussex",http://force.nj.com/database/pd-dept/byram-sussex,1,5,6
"Caldwell, Essex",/database/pd-dept/caldwell-essex,http://force.nj.com/database/pd-dept/caldwell-essex,101%,17%,,"Caldwell, Essex",http://force.nj.com/database/pd-dept/caldwell-essex,0,15,15
"Camden, Camden",/database/pd-dept/camden-camden,http://force.nj.com/database/pd-dept/camden-camden,8%,447%,,"Camden, Camden",http://force.nj.com/database/pd-dept/camden-camden,132,307,325
"Cape May & Cape May Point & West Cape May, Cape May",/database/pd-dept/cape-may-cape-may,http://force.nj.com/database/pd-dept/cape-may-cape-may,373%,75%,,"Cape May & Cape May Point & West Cape May, Cape May",http://force.nj.com/database/pd-dept/cape-may-cape-may,1,15,16
