name,relative_url,population,arrests,Los Angeles,New York City,Chicago,full_url
"Aberdeen, Monmouth",/database/pd-dept/aberdeen-monmouth,294%,42%,4,15,16,http://force.nj.com/database/pd-dept/aberdeen-monmouth
"Absecon, Atlantic",/database/pd-dept/absecon-atlantic,583%,68%,0,9,13,http://force.nj.com/database/pd-dept/absecon-atlantic
"Allendale, Bergen",/database/pd-dept/allendale-bergen,N/A,8%,0,2,3,http://force.nj.com/database/pd-dept/allendale-bergen
"Allenhurst, Monmouth",/database/pd-dept/allenhurst-monmouth,N/A,N/A,0,4,4,http://force.nj.com/database/pd-dept/allenhurst-monmouth
"Allentown, Monmouth",/database/pd-dept/allentown-monmouth,N/A,N/A,0,1,1,http://force.nj.com/database/pd-dept/allentown-monmouth
"Alpine, Bergen",/database/pd-dept/alpine-bergen,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/alpine-bergen
"Andover Township, Sussex",/database/pd-dept/andover-township-sussex,N/A,2%,0,5,5,http://force.nj.com/database/pd-dept/andover-township-sussex
"Asbury Park, Monmouth",/database/pd-dept/asbury-park-monmouth,96%,39%,24,84,85,http://force.nj.com/database/pd-dept/asbury-park-monmouth
"Atlantic City, Atlantic",/database/pd-dept/atlantic-city-atlantic,35%,3%,90,216,220,http://force.nj.com/database/pd-dept/atlantic-city-atlantic
"Atlantic Highlands, Monmouth",/database/pd-dept/atlantic-highlands-monmouth,335%,69%,0,3,4,http://force.nj.com/database/pd-dept/atlantic-highlands-monmouth
"Audubon, Camden",/database/pd-dept/audubon-camden,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/audubon-camden
"Avalon, Cape May",/database/pd-dept/avalon-cape-may,N/A,N/A,0,4,4,http://force.nj.com/database/pd-dept/avalon-cape-may
"Avon-By-the-Sea, Monmouth",/database/pd-dept/avon-by-the-sea-monmouth,N/A,N/A,0,7,7,http://force.nj.com/database/pd-dept/avon-by-the-sea-monmouth
"Barnegat, Ocean",/database/pd-dept/barnegat-ocean,216%,9%,0,20,23,http://force.nj.com/database/pd-dept/barnegat-ocean
"Barrington, Camden",/database/pd-dept/barrington-camden,1147%,4%,0,11,11,http://force.nj.com/database/pd-dept/barrington-camden
