name,relative_url,population,more_or_less_pop,arrests,more_or_less_arrests,los_angeles,new_york_city,chicago,average_full_time_officers,more_or_less,full_url
"Aberdeen, Monmouth",/database/pd-dept/aberdeen-monmouth,294%,more likely,42%,more likely,4,15,16,34,,http://force.nj.com/database/pd-dept/aberdeen-monmouth
"Absecon, Atlantic",/database/pd-dept/absecon-atlantic,583%,more likely,68%,more likely,0,9,13,25,,http://force.nj.com/database/pd-dept/absecon-atlantic
"Allendale, Bergen",/database/pd-dept/allendale-bergen,N/A,Not found,8%,less likely,0,2,3,14,,http://force.nj.com/database/pd-dept/allendale-bergen
"Allenhurst, Monmouth",/database/pd-dept/allenhurst-monmouth,N/A,Not found,N/A,Not found,0,4,4,9,,http://force.nj.com/database/pd-dept/allenhurst-monmouth
"Allentown, Monmouth",/database/pd-dept/allentown-monmouth,N/A,Not found,N/A,Not found,0,1,1,5,,http://force.nj.com/database/pd-dept/allentown-monmouth
"Alpine, Bergen",/database/pd-dept/alpine-bergen,N/A,Not found,N/A,Not found,0,2,2,12,,http://force.nj.com/database/pd-dept/alpine-bergen
"Andover Township, Sussex",/database/pd-dept/andover-township-sussex,N/A,Not found,2%,more likely,0,5,5,12,,http://force.nj.com/database/pd-dept/andover-township-sussex
"Asbury Park, Monmouth",/database/pd-dept/asbury-park-monmouth,96%,more likely,39%,more likely,24,84,85,86,,http://force.nj.com/database/pd-dept/asbury-park-monmouth
"Atlantic City, Atlantic",/database/pd-dept/atlantic-city-atlantic,35%,less likely,3%,more likely,90,216,220,320,,http://force.nj.com/database/pd-dept/atlantic-city-atlantic
"Atlantic Highlands, Monmouth",/database/pd-dept/atlantic-highlands-monmouth,335%,more likely,69%,more likely,0,3,4,14,,http://force.nj.com/database/pd-dept/atlantic-highlands-monmouth
"Audubon, Camden",/database/pd-dept/audubon-camden,N/A,Not found,N/A,Not found,0,2,2,16,,http://force.nj.com/database/pd-dept/audubon-camden
"Avalon, Cape May",/database/pd-dept/avalon-cape-may,N/A,Not found,N/A,Not found,0,4,4,21,,http://force.nj.com/database/pd-dept/avalon-cape-may
"Avon-By-the-Sea, Monmouth",/database/pd-dept/avon-by-the-sea-monmouth,N/A,Not found,N/A,Not found,0,7,7,11,,http://force.nj.com/database/pd-dept/avon-by-the-sea-monmouth
"Barnegat, Ocean",/database/pd-dept/barnegat-ocean,216%,more likely,9%,more likely,0,20,23,46,,http://force.nj.com/database/pd-dept/barnegat-ocean
"Barrington, Camden",/database/pd-dept/barrington-camden,1147%,more likely,4%,more likely,0,11,11,14,,http://force.nj.com/database/pd-dept/barrington-camden
"Bay Head, Ocean",/database/pd-dept/bay-head-ocean,N/A,Not found,N/A,Not found,0,1,1,8,,http://force.nj.com/database/pd-dept/bay-head-ocean
"Bayonne, Hudson",/database/pd-dept/bayonne-hudson,108%,more likely,3%,more likely,11,88,92,186,,http://force.nj.com/database/pd-dept/bayonne-hudson
"Beach Haven, Ocean",/database/pd-dept/beach-haven-ocean,78%,more likely,286%,more likely,0,7,8,11,,http://force.nj.com/database/pd-dept/beach-haven-ocean
"Beachwood, Ocean",/database/pd-dept/beachwood-ocean,717%,more likely,63%,more likely,0,14,15,18,,http://force.nj.com/database/pd-dept/beachwood-ocean
"Bedminster, Somerset",/database/pd-dept/bedminster-somerset,N/A,Not found,353%,more likely,0,1,2,15,,http://force.nj.com/database/pd-dept/bedminster-somerset
"Belleville, Essex",/database/pd-dept/belleville-essex,76%,more likely,89%,more likely,12,64,66,107,,http://force.nj.com/database/pd-dept/belleville-essex
"Bellmawr, Camden",/database/pd-dept/bellmawr-camden,231%,more likely,47%,less likely,0,7,13,21,,http://force.nj.com/database/pd-dept/bellmawr-camden
"Belmar, Monmouth",/database/pd-dept/belmar-monmouth,218%,more likely,28%,less likely,2,31,32,20,,http://force.nj.com/database/pd-dept/belmar-monmouth
"Belvidere, Warren",/database/pd-dept/belvidere-warren,N/A,Not found,N/A,Not found,0,1,1,6,,http://force.nj.com/database/pd-dept/belvidere-warren
"Bergenfield, Bergen",/database/pd-dept/bergenfield-bergen,40%,more likely,17%,less likely,0,13,14,45,,http://force.nj.com/database/pd-dept/bergenfield-bergen
"Berkeley Heights, Union",/database/pd-dept/berkeley-heights-union,N/A,Not found,N/A,Not found,0,1,1,24,,http://force.nj.com/database/pd-dept/berkeley-heights-union
"Berkeley, Ocean",/database/pd-dept/berkeley-ocean,41%,less likely,76%,less likely,1,23,24,68,,http://force.nj.com/database/pd-dept/berkeley-ocean
"Berlin Borough, Camden",/database/pd-dept/berlin-borough-camden,529%,more likely,14%,more likely,1,10,11,16,,http://force.nj.com/database/pd-dept/berlin-borough-camden
"Berlin Township, Camden",/database/pd-dept/berlin-township-camden,36%,less likely,31%,less likely,0,6,6,17,,http://force.nj.com/database/pd-dept/berlin-township-camden
"Bernards, Somerset",/database/pd-dept/bernards-somerset,779%,more likely,10%,more likely,0,14,16,38,,http://force.nj.com/database/pd-dept/bernards-somerset
"Bernardsville, Somerset",/database/pd-dept/bernardsville-somerset,N/A,Not found,N/A,Not found,0,4,4,18,,http://force.nj.com/database/pd-dept/bernardsville-somerset
"Beverly, Burlington",/database/pd-dept/beverly-burlington,924%,more likely,53%,more likely,2,11,12,6,,http://force.nj.com/database/pd-dept/beverly-burlington
"Blairstown, Warren",/database/pd-dept/blairstown-warren,N/A,Not found,N/A,Not found,0,2,2,5,,http://force.nj.com/database/pd-dept/blairstown-warren
"Bloomfield, Essex",/database/pd-dept/bloomfield-essex,252%,more likely,83%,more likely,15,60,63,124,,http://force.nj.com/database/pd-dept/bloomfield-essex
"Bloomingdale, Passaic",/database/pd-dept/bloomingdale-passaic,642%,more likely,79%,more likely,0,8,9,16,,http://force.nj.com/database/pd-dept/bloomingdale-passaic
"Bogota, Bergen",/database/pd-dept/bogota-bergen,68%,more likely,52%,more likely,0,8,9,16,,http://force.nj.com/database/pd-dept/bogota-bergen
"Boonton, Morris",/database/pd-dept/boonton-morris,747%,more likely,88%,more likely,0,10,10,20,,http://force.nj.com/database/pd-dept/boonton-morris
"Boonton Township, Morris",/database/pd-dept/boonton-township-morris,N/A,Not found,N/A,Not found,0,3,3,12,,http://force.nj.com/database/pd-dept/boonton-township-morris
"Bordentown Township, Burlington",/database/pd-dept/bordentown-township-burlington,367%,more likely,5%,more likely,2,18,20,23,,http://force.nj.com/database/pd-dept/bordentown-township-burlington
"Bordentown City, Burlington",/database/pd-dept/bordentown-burlington,254%,more likely,35%,more likely,0,6,6,12,,http://force.nj.com/database/pd-dept/bordentown-burlington
"Bound Brook, Somerset",/database/pd-dept/bound-brook-somerset,527%,more likely,36%,more likely,3,16,16,24,,http://force.nj.com/database/pd-dept/bound-brook-somerset
"Bradley Beach, Monmouth",/database/pd-dept/bradley-beach-monmouth,925%,more likely,54%,more likely,1,12,14,17,,http://force.nj.com/database/pd-dept/bradley-beach-monmouth
"Branchburg, Somerset",/database/pd-dept/branchburg-somerset,150%,more likely,37%,more likely,0,8,9,26,,http://force.nj.com/database/pd-dept/branchburg-somerset
"Brick, Ocean",/database/pd-dept/brick-ocean,457%,more likely,39%,more likely,3,64,67,132,,http://force.nj.com/database/pd-dept/brick-ocean
"Bridgeton City, Cumberland",/database/pd-dept/bridgeton-city-cumberland,1%,less likely,39%,more likely,19,41,56,62,,http://force.nj.com/database/pd-dept/bridgeton-city-cumberland
"Bridgewater, Somerset",/database/pd-dept/bridgewater-somerset,994%,more likely,15%,more likely,0,36,37,73,,http://force.nj.com/database/pd-dept/bridgewater-somerset
"Brielle, Monmouth",/database/pd-dept/brielle-monmouth,N/A,Not found,681%,more likely,0,2,2,14,,http://force.nj.com/database/pd-dept/brielle-monmouth
"Brigantine Beach, Atlantic",/database/pd-dept/brigantine-beach-atlantic,974%,more likely,50%,more likely,0,13,13,34,,http://force.nj.com/database/pd-dept/brigantine-beach-atlantic
"Brooklawn, Camden",/database/pd-dept/brooklawn-camden,427%,more likely,4%,more likely,2,9,10,6,,http://force.nj.com/database/pd-dept/brooklawn-camden
"Buena Borough, Atlantic",/database/pd-dept/buena-borough-atlantic,838%,more likely,145%,more likely,1,3,7,9,,http://force.nj.com/database/pd-dept/buena-borough-atlantic
"Burlington City, Burlington",/database/pd-dept/burlington-city-burlington,497%,more likely,27%,more likely,2,29,30,32,,http://force.nj.com/database/pd-dept/burlington-city-burlington
"Burlington Township, Burlington",/database/pd-dept/burlington-town-burlington,215%,more likely,10%,more likely,0,26,26,42,,http://force.nj.com/database/pd-dept/burlington-town-burlington
"Butler, Morris",/database/pd-dept/butler-morris,N/A,Not found,43%,more likely,0,6,6,16,,http://force.nj.com/database/pd-dept/butler-morris
"Byram, Sussex",/database/pd-dept/byram-sussex,3922%,more likely,7%,more likely,1,5,6,14,,http://force.nj.com/database/pd-dept/byram-sussex
"Caldwell, Essex",/database/pd-dept/caldwell-essex,101%,more likely,17%,less likely,0,15,15,22,,http://force.nj.com/database/pd-dept/caldwell-essex
"Camden, Camden",/database/pd-dept/camden-camden,8%,more likely,447%,more likely,132,307,325,341,,http://force.nj.com/database/pd-dept/camden-camden
"Cape May &amp; Cape May Point &amp; West Cape May, Cape May",/database/pd-dept/cape-may-cape-may,373%,more likely,75%,more likely,1,15,16,22,,http://force.nj.com/database/pd-dept/cape-may-cape-may
"Carlstadt, Bergen",/database/pd-dept/carlstadt-bergen,N/A,Not found,36%,more likely,0,4,5,26,,http://force.nj.com/database/pd-dept/carlstadt-bergen
"Carney's Point, Salem",/database/pd-dept/carney-s-point-salem,238%,more likely,45%,more likely,1,13,14,17,,http://force.nj.com/database/pd-dept/carney-s-point-salem
"Carteret, Middlesex",/database/pd-dept/carteret-middlesex,103%,more likely,38%,more likely,5,34,36,55,,http://force.nj.com/database/pd-dept/carteret-middlesex
