name,relative_url,population,more_or_less_pop,arrests,more_or_less_arrests,los_angeles,new_york_city,chicago,average_full_time_officers,rate_of_force,town_name,county,patrol_area,full_url
"Aberdeen, Monmouth",/database/pd-dept/aberdeen-monmouth,294%,more likely,42%,more likely,4,15,16,34,This department uses force at higher rate than 251 police departments,Aberdeen,Monmouth County,Patrol area: Aberdeen,http://force.nj.com/database/pd-dept/aberdeen-monmouth
"Absecon, Atlantic",/database/pd-dept/absecon-atlantic,583%,more likely,68%,more likely,0,9,13,25,This department uses force at lower rate than 251 police departments,Absecon,Atlantic County,Patrol area: Absecon,http://force.nj.com/database/pd-dept/absecon-atlantic
"Allendale, Bergen",/database/pd-dept/allendale-bergen,N/A,Not found,8%,less likely,0,2,3,14,This department uses force at lower rate than 330 police departments,Allendale,Bergen County,Patrol area: Allendale,http://force.nj.com/database/pd-dept/allendale-bergen
"Allenhurst, Monmouth",/database/pd-dept/allenhurst-monmouth,N/A,Not found,N/A,Not found,0,4,4,9,This department uses force at lower rate than 407 police departments,Allenhurst,Monmouth County,Patrol area: Allenhurst,http://force.nj.com/database/pd-dept/allenhurst-monmouth
"Allentown, Monmouth",/database/pd-dept/allentown-monmouth,N/A,Not found,N/A,Not found,0,1,1,5,This department uses force at higher rate than 270 police departments,Allentown,Monmouth County,Patrol area: Allentown,http://force.nj.com/database/pd-dept/allentown-monmouth
"Alpine, Bergen",/database/pd-dept/alpine-bergen,N/A,Not found,N/A,Not found,0,2,2,12,This department uses force at higher rate than 380 police departments,Alpine,Bergen County,Patrol area: Alpine,http://force.nj.com/database/pd-dept/alpine-bergen
"Andover Township, Sussex",/database/pd-dept/andover-township-sussex,N/A,Not found,2%,more likely,0,5,5,12,This department uses force at lower rate than 331 police departments,Andover Township,Sussex County,Patrol area: Andover Township,http://force.nj.com/database/pd-dept/andover-township-sussex
"Asbury Park, Monmouth",/database/pd-dept/asbury-park-monmouth,96%,more likely,39%,more likely,24,84,85,86,This department uses force at higher rate than 365 police departments,Asbury Park,Monmouth County,Patrol area: Asbury Park,http://force.nj.com/database/pd-dept/asbury-park-monmouth
"Atlantic City, Atlantic",/database/pd-dept/atlantic-city-atlantic,35%,less likely,3%,more likely,90,216,220,320,This department uses force at higher rate than 466 police departments,Atlantic City,Atlantic County,Patrol area: Atlantic City,http://force.nj.com/database/pd-dept/atlantic-city-atlantic
"Atlantic Highlands, Monmouth",/database/pd-dept/atlantic-highlands-monmouth,335%,more likely,69%,more likely,0,3,4,14,This department uses force at higher rate than 256 police departments,Atlantic Highlands,Monmouth County,Patrol area: Atlantic Highlands,http://force.nj.com/database/pd-dept/atlantic-highlands-monmouth
